respondent_id,school_type,location,enrollment_range,student_teacher_ratio,teachers_trained_percent,biggest_challenge,lab_facilities,internet_downtime,cbe_budget_percent,parent_support,grant_priority,readiness_score_1_10,open_comment
RESP_P0072,Private,Urban,1001-1500,15:1 or less,51-75%,CBC Assessment methods,Poor,3-10 hours/week,<5%,Neutral,CBC teaching materials,5,Assessment tools need to be simplified
RESP_P0073,Public County,Rural,501-1000,26-30:1,76-100%,Lesson planning for CBC,Moderate,3-10 hours/week,5-10%,Resistant,Teacher training/workshops,5,Parents need more orientation on CBC requirements
RESP_P0074,Public County,Peri-urban,1501-2000,31+:1,51-75%,Lesson planning for CBC,Poor,3-10 hours/week,<5%,Supportive with misconceptions,"ICT equipment (computers, projectors)",5,Collaboration among teachers has improved CBC implementation
RESP_P0075,Public County,Rural,1501-2000,21-25:1,26-50%,CBC Assessment methods,Moderate,<3 hours/week,<5%,Neutral,CBC teaching materials,7,Progress is slow but steady
RESP_P0076,Public Day,Urban,1001-1500,21-25:1,51-75%,Lesson planning for CBC,Moderate,Minimal,5-10%,Neutral,Laboratory/workshop equipment,3,Collaboration among teachers has improved CBC implementation
RESP_P0077,Public Day,Peri-urban,501-1000,21-25:1,0-25%,Workload/time constraints,Well-equipped,>10 hours/week,<5%,Supportive with misconceptions,"Support staff (lab tech, ICT support)",7,Teachers are trying their best with limited resources
RESP_P0078,Public County,Urban,200-500,31+:1,51-75%,CBC Assessment methods,Absent,>10 hours/week,<5%,Neutral,Laboratory/workshop equipment,5,Resource allocation needs to be more equitable
RESP_P0079,Public Day,Urban,1001-1500,26-30:1,0-25%,Large class sizes,Moderate,Minimal,<5%,Resistant,"Support staff (lab tech, ICT support)",5,Need more government support for CBC implementation
RESP_P0080,Public Day,Urban,200-500,15:1 or less,0-25%,CBC Assessment methods,Poor,>10 hours/week,<5%,Supportive,CBC teaching materials,4,Digital infrastructure is our biggest limitation
RESP_P0081,Private,Urban,200-500,16-20:1,51-75%,Workload/time constraints,Well-equipped,<3 hours/week,<5%,Resistant,"Support staff (lab tech, ICT support)",7,Teachers are trying their best with limited resources
RESP_P0082,Public County,Urban,1501-2000,21-25:1,26-50%,CBC Assessment methods,Absent,<3 hours/week,<5%,Supportive with misconceptions,Teacher training/workshops,6,Parents need more orientation on CBC requirements
RESP_P0083,Public County,Rural,501-1000,26-30:1,0-25%,CBC Assessment methods,Absent,3-10 hours/week,<5%,Supportive with misconceptions,CBC teaching materials,6,Progress is slow but steady
RESP_P0084,Private,Rural,200-500,16-20:1,26-50%,CBC Assessment methods,Moderate,3-10 hours/week,>20%,Supportive,"ICT equipment (computers, projectors)",5,Parents need more orientation on CBC requirements
RESP_P0085,Public County,Rural,1501-2000,26-30:1,0-25%,Teacher digital skills,Poor,Minimal,<5%,Resistant,Laboratory/workshop equipment,5,Need more government support for CBC implementation
RESP_P0086,Public County,Peri-urban,1001-1500,21-25:1,26-50%,Teacher digital skills,Poor,>10 hours/week,<5%,Neutral,Laboratory/workshop equipment,7,Progress is slow but steady
RESP_P0087,Private,Peri-urban,501-1000,21-25:1,0-25%,Workload/time constraints,Poor,>10 hours/week,<5%,Supportive,CBC teaching materials,8,Teachers are trying their best with limited resources
RESP_P0088,Public Day,Urban,501-1000,21-25:1,26-50%,Lesson planning for CBC,Absent,>10 hours/week,<5%,Neutral,"ICT equipment (computers, projectors)",6,Resource allocation needs to be more equitable
RESP_P0089,Public County,Urban,501-1000,31+:1,0-25%,CBC Assessment methods,Absent,Minimal,<5%,Supportive,CBC teaching materials,6,Class sizes make individual attention difficult
RESP_P0090,Public County,Rural,1001-1500,16-20:1,26-50%,CBC Assessment methods,Moderate,>10 hours/week,5-10%,Neutral,Teacher training/workshops,6,More practical training needed for teachers
RESP_P0091,Private,Rural,1001-1500,26-30:1,0-25%,Lack of resources,Moderate,3-10 hours/week,5-10%,Supportive with misconceptions,Teacher training/workshops,6,Progress is slow but steady
RESP_P0092,Public National,Urban,200-500,15:1 or less,51-75%,Teacher digital skills,Moderate,3-10 hours/week,<5%,Supportive,"ICT equipment (computers, projectors)",6,Collaboration among teachers has improved CBC implementation
RESP_P0093,Public County,Rural,501-1000,15:1 or less,26-50%,Large class sizes,Poor,>10 hours/week,<5%,Neutral,CBC teaching materials,8,Class sizes make individual attention difficult
RESP_P0094,Private,Rural,501-1000,31+:1,76-100%,Lack of resources,Poor,3-10 hours/week,>20%,Supportive with misconceptions,"ICT equipment (computers, projectors)",6,Assessment tools need to be simplified
RESP_P0095,Public County,Peri-urban,1001-1500,26-30:1,76-100%,Teacher digital skills,Well-equipped,3-10 hours/week,5-10%,Neutral,"ICT equipment (computers, projectors)",6,Assessment tools need to be simplified
RESP_P0096,Public Day,Rural,501-1000,26-30:1,76-100%,Lesson planning for CBC,Well-equipped,3-10 hours/week,<5%,Neutral,Teacher training/workshops,4,Assessment tools need to be simplified
RESP_P0097,Public County,Rural,200-500,21-25:1,26-50%,Lack of resources,Poor,3-10 hours/week,5-10%,Supportive with misconceptions,Teacher training/workshops,8,Resource allocation needs to be more equitable
RESP_P0098,Public County,Rural,501-1000,16-20:1,26-50%,CBC Assessment methods,Moderate,>10 hours/week,5-10%,Neutral,"ICT equipment (computers, projectors)",5,Teachers are trying their best with limited resources
RESP_P0099,Public Day,Urban,1001-1500,21-25:1,26-50%,CBC Assessment methods,Well-equipped,>10 hours/week,<5%,Supportive,"ICT equipment (computers, projectors)",7,More practical training needed for teachers
RESP_P0100,Public Day,Rural,1001-1500,21-25:1,51-75%,Workload/time constraints,Moderate,3-10 hours/week,5-10%,Supportive with misconceptions,"Support staff (lab tech, ICT support)",6,Need more government support for CBC implementation
