timestamp,respondent_id,gender,age_range,highest_qualification,total_teaching_exp,cbc_experience_years,primary_pathway,school_type,school_location,largest_class_size,subjects_taught_count,conf_B1,conf_B2,conf_B3,conf_B4,conf_B5,conf_B6,conf_B7,digi_C1a,digi_C1b,digi_C1c,digi_C1d,digi_C2a,digi_C2b,digi_C2c,digi_C2d,digi_C2e,res_D1,res_D2,res_D3,res_D4,res_D5,res_D6,train_attended,train_E2,train_E3,train_E4,train_E5,train_E6,train_E7,overall_readiness,top_challenge_1,top_challenge_2,most_needed_support,additional_comments
2025-01-08 06:21:50,RESP_T00063,Female,20-29,Diploma,6-10 years,2-3 years,STEM,Public County,Urban,40-49,2,4,4,4,4,3,4,4,2,2,3,3,2,3,3,2,3,3,3,3,3,3,2,Yes,1.0,2.0,2.0,2.0,2.0,1.0,3,Training,Resources,Administrative support,Need more practical support
2025-01-26 09:37:41,RESP_T00064,Female,20-29,Diploma,11-15 years,First year,Arts & Sports,Public National,Rural,50-59,3,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,4,3,2,Yes,5.0,4.0,3.0,4.0,5.0,4.0,3,Workload,Training,Better ICT equipment,Need more practical support
2025-01-01 17:15:48,RESP_T00065,Female,40-49,Diploma,2-5 years,4-5 years,Arts & Sports,Public County,Urban,60+,2,4,4,4,4,5,4,4,2,3,3,4,3,2,3,2,3,3,4,4,3,4,3,No,,,,,,,3,Digital Tools,Resources,Practical training,Overwhelmed with workload
2025-01-13 17:51:59,RESP_T00066,Male,30-39,B.Ed,16-20 years,First year,STEM,Public Day,Peri-urban,40-49,4+,4,3,3,4,4,4,3,1,3,2,2,2,3,2,2,2,2,2,1,2,1,2,Yes,2.0,2.0,2.0,2.0,3.0,2.0,3,Resources,Workload,Practical training,Very difficult without proper resources
2025-01-04 22:24:20,RESP_T00067,Male,50-59,Diploma,6-10 years,First year,Social Sciences,Public National,Urban,40-49,1,2,3,3,2,2,3,2,3,3,3,4,3,2,2,4,3,4,4,5,4,5,4,Yes,3.0,3.0,4.0,3.0,3.0,4.0,3,Resources,Digital Tools,More planning time,Very difficult without proper resources
2025-01-29 14:39:06,RESP_T00068,Male,30-39,Diploma,6-10 years,2-3 years,Social Sciences,Public County,Rural,60+,3,3,3,3,2,2,3,3,3,4,3,2,3,3,3,3,3,2,3,2,1,2,2,No,,,,,,,3,Workload,Training,Parent education,Need more practical support
2025-01-17 06:24:06,RESP_T00069,Female,20-29,B.Ed,2-5 years,2-3 years,STEM,Public Day,Rural,50-59,4+,5,4,5,4,4,4,4,4,3,4,4,4,3,3,4,4,3,2,2,3,2,3,Yes,2.0,3.0,2.0,2.0,3.0,2.0,3,Workload,Training,Parent education,Overwhelmed with workload
2025-01-12 21:08:09,RESP_T00070,Female,30-39,PGDE,2-5 years,2-3 years,STEM,Public Day,Urban,40-49,3,3,4,4,3,4,3,3,4,3,3,3,3,4,4,3,4,3,2,3,2,3,4,Yes,3.0,3.0,2.0,3.0,4.0,3.0,3,Digital Tools,Workload,Parent education,Need more practical support
2025-01-30 03:00:17,RESP_T00071,Male,30-39,Diploma,More than 20 years,2-3 years,STEM,Public County,Urban,40-49,1,3,3,4,3,3,4,4,4,4,4,4,4,4,3,3,3,2,1,2,2,2,2,No,,,,,,,3,Training,Digital Tools,Smaller classes,Need more practical support
2025-01-16 05:14:24,RESP_T00072,Female,20-29,Diploma,6-10 years,More than 5 years,STEM,Public Day,Rural,40-49,2,4,4,4,4,4,3,4,2,1,2,1,2,2,2,2,2,2,3,2,2,2,2,No,,,,,,,3,Digital Tools,Resources,Parent education,Need more practical support
2025-01-09 13:58:13,RESP_T00073,Female,40-49,Diploma,2-5 years,2-3 years,Social Sciences,Public County,Rural,30-39,1,3,4,4,3,4,3,4,2,2,2,2,2,3,3,2,3,3,3,3,4,3,3,Yes,3.0,3.0,3.0,4.0,3.0,3.0,3,Digital Tools,Resources,More planning time,Overwhelmed with workload
2025-01-19 18:57:02,RESP_T00074,Female,20-29,Diploma,6-10 years,First year,STEM,Public County,Urban,60+,2,3,3,3,3,3,3,3,4,4,4,5,3,4,3,4,3,3,2,3,3,3,3,No,,,,,,,3,Resources,Training,More planning time,Very difficult without proper resources
2025-01-02 19:45:07,RESP_T00075,Female,40-49,Diploma,6-10 years,2-3 years,Arts & Sports,Public County,Peri-urban,40-49,3,3,3,3,3,3,3,3,4,3,4,4,4,4,3,4,3,3,3,1,3,3,2,Yes,1.0,1.0,1.0,1.0,2.0,2.0,3,Resources,Digital Tools,More planning time,Very difficult without proper resources
2025-01-28 11:42:03,RESP_T00076,Female,30-39,B.Ed,Less than 2 years,4-5 years,Social Sciences,Public County,Urban,50-59,2,4,4,5,4,4,4,4,2,3,3,3,2,2,3,3,2,2,2,2,3,2,3,Yes,3.0,2.0,2.0,3.0,2.0,2.0,3,Workload,Resources,Parent education,Very difficult without proper resources
2025-01-05 20:04:16,RESP_T00077,Male,30-39,B.Ed,6-10 years,2-3 years,STEM,Private,Rural,30-39,2,5,5,5,5,5,5,5,4,4,4,4,3,3,3,4,4,5,5,4,4,4,4,No,,,,,,,4,Class Size,Digital Tools,More planning time,"Some aspects working, others challenging"
2025-01-30 19:28:39,RESP_T00078,Female,30-39,B.Ed,6-10 years,First year,Social Sciences,Public National,Rural,40-49,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,4,3,5,3,No,,,,,,,2,Workload,Resources,Better ICT equipment,Need more practical support
2025-01-21 22:12:59,RESP_T00079,Male,50-59,Diploma,11-15 years,4-5 years,Social Sciences,Public County,Urban,20-29,2,4,4,4,3,4,3,3,3,2,3,3,3,3,2,3,2,3,3,4,3,3,3,Yes,4.0,4.0,4.0,4.0,4.0,4.0,3,Workload,Training,Better ICT equipment,Very difficult without proper resources
2025-01-08 20:34:34,RESP_T00080,Female,30-39,PGDE,6-10 years,2-3 years,Arts & Sports,Public County,Peri-urban,50-59,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,Yes,3.0,3.0,2.0,2.0,2.0,3.0,3,Workload,Parent Support,Parent education,Overwhelmed with workload
2025-01-12 15:58:45,RESP_T00081,Male,40-49,Diploma,6-10 years,2-3 years,STEM,Public County,Urban,40-49,3,2,2,2,2,2,1,2,3,3,3,2,3,3,3,3,2,2,2,2,2,3,2,Yes,2.0,2.0,3.0,2.0,3.0,3.0,2,Resources,Workload,Practical training,Overwhelmed with workload
2025-01-20 12:59:59,RESP_T00082,Female,20-29,B.Ed,More than 20 years,First year,STEM,Public National,Urban,50-59,1,3,3,3,3,3,2,3,4,4,5,4,4,4,3,3,4,4,4,3,5,4,3,Yes,4.0,3.0,4.0,4.0,4.0,4.0,3,Class Size,Resources,Practical training,Overwhelmed with workload
2025-01-04 13:03:21,RESP_T00083,Female,40-49,PGDE,6-10 years,First year,Arts & Sports,Public County,Urban,20-29,2,2,2,3,2,2,2,2,3,2,3,2,3,2,3,3,2,4,4,4,3,3,3,Yes,4.0,3.0,3.0,5.0,4.0,4.0,3,Resources,Digital Tools,Parent education,Need more practical support
2025-01-10 19:26:17,RESP_T00084,Male,30-39,Diploma,2-5 years,2-3 years,Arts & Sports,Public Day,Rural,30-39,2,5,5,4,5,5,4,4,2,2,2,2,3,3,2,3,2,1,1,1,1,1,1,Yes,3.0,3.0,3.0,2.0,3.0,3.0,3,Digital Tools,Training,Practical training,Need more practical support
